Vd, I
3.94894894895,-0.000768
3.94394394394,-0.000771
3.93893893894,-0.000773
3.93393393393,-0.000777
3.92892892893,-0.00078
3.92392392392,-0.000783
3.91891891892,-0.000786
3.91391391391,-0.000788
3.90890890891,-0.000791
3.9039039039,-0.000794
3.8988988989,-0.000797
3.89389389389,-0.0008
3.88888888889,-0.000803
3.88388388388,-0.000806
3.87887887888,-0.000809
3.87387387387,-0.000812
3.86886886887,-0.000815
3.86386386386,-0.000818
3.85885885886,-0.000821
3.85385385385,-0.000823
3.84884884885,-0.000826
3.84384384384,-0.000829
3.83883883884,-0.000832
3.83383383383,-0.000835
3.82882882883,-0.000838
3.82382382382,-0.000841
3.81881881882,-0.000844
3.81381381381,-0.000847
3.80880880881,-0.00085
3.8038038038,-0.000852
3.7987987988,-0.000855
3.79379379379,-0.000858
3.78878878879,-0.000861
3.78378378378,-0.000864
3.77877877878,-0.000867
3.77377377377,-0.00087
3.76876876877,-0.000872
3.76376376376,-0.000875
3.75875875876,-0.000878
3.75375375375,-0.000881
3.74874874875,-0.000884
3.74374374374,-0.000887
3.73873873874,-0.00089
3.73373373373,-0.000892
3.72872872873,-0.000895
3.72372372372,-0.000898
3.71871871872,-0.000901
3.71371371371,-0.000903
3.70870870871,-0.000907
3.7037037037,-0.000909
3.6986986987,-0.000912
3.69369369369,-0.000915
3.68868868869,-0.000917
3.68368368368,-0.00092
3.67867867868,-0.000923
3.67367367367,-0.000926
3.66866866867,-0.000928
3.66366366366,-0.000931
3.65865865866,-0.000934
3.65365365365,-0.000937
3.64864864865,-0.00094
3.64364364364,-0.000942
3.63863863864,-0.000945
3.63363363363,-0.000948
3.62862862863,-0.00095
3.62362362362,-0.000953
3.61861861862,-0.000956
3.61361361361,-0.000958
3.60860860861,-0.000961
3.6036036036,-0.000964
3.5985985986,-0.000967
3.59359359359,-0.000969
3.58858858859,-0.000972
3.58358358358,-0.000975
3.57857857858,-0.000978
3.57357357357,-0.00098
3.56856856857,-0.000983
3.56356356356,-0.000986
3.55855855856,-0.000988
3.55355355355,-0.000991
3.54854854855,-0.000994
3.54354354354,-0.000996
3.53853853854,-0.000999
3.53353353353,-0.001002
3.52852852853,-0.001004
3.52352352352,-0.001007
3.51851851852,-0.001009
3.51351351351,-0.001012
3.50850850851,-0.001015
3.5035035035,-0.001017
3.4984984985,-0.00102
3.49349349349,-0.001023
3.48848848849,-0.001026
3.48348348348,-0.001028
3.47847847848,-0.001031
3.47347347347,-0.001034
3.46846846847,-0.001036
3.46346346346,-0.001039
3.45845845846,-0.001041
3.45345345345,-0.001044
3.44844844845,-0.001046
3.44344344344,-0.001049
3.43843843844,-0.001052
3.43343343343,-0.001054
3.42842842843,-0.001057
3.42342342342,-0.001059
3.41841841842,-0.001062
3.41341341341,-0.001064
3.40840840841,-0.001067
3.4034034034,-0.001069
3.3983983984,-0.001072
3.39339339339,-0.001075
3.38838838839,-0.001077
3.38338338338,-0.00108
3.37837837838,-0.001082
3.37337337337,-0.001084
3.36836836837,-0.001087
3.36336336336,-0.00109
3.35835835836,-0.001092
3.35335335335,-0.001094
3.34834834835,-0.001097
3.34334334334,-0.0011
3.33833833834,-0.001102
3.33333333333,-0.001104
3.32832832833,-0.001107
3.32332332332,-0.001109
3.31831831832,-0.001112
3.31331331331,-0.001114
3.30830830831,-0.001117
3.3033033033,-0.001119
3.2982982983,-0.001122
3.29329329329,-0.001124
3.28828828829,-0.001127
3.28328328328,-0.001129
3.27827827828,-0.001132
3.27327327327,-0.001134
3.26826826827,-0.001136
3.26326326326,-0.001139
3.25825825826,-0.001141
3.25325325325,-0.001144
3.24824824825,-0.001146
3.24324324324,-0.001148
3.23823823824,-0.001151
3.23323323323,-0.001153
3.22822822823,-0.001156
3.22322322322,-0.001158
3.21821821822,-0.00116
3.21321321321,-0.001163
3.20820820821,-0.001165
3.2032032032,-0.001168
3.1981981982,-0.00117
3.19319319319,-0.001172
3.18818818819,-0.001175
3.18318318318,-0.001177
3.17817817818,-0.001179
3.17317317317,-0.001182
3.16816816817,-0.001184
3.16316316316,-0.001186
3.15815815816,-0.001188
3.15315315315,-0.001191
3.14814814815,-0.001193
3.14314314314,-0.001196
3.13813813814,-0.001198
3.13313313313,-0.0012
3.12812812813,-0.001202
3.12312312312,-0.001205
3.11811811812,-0.001207
3.11311311311,-0.001209
3.10810810811,-0.001211
3.1031031031,-0.001213
3.0980980981,-0.001216
3.09309309309,-0.001218
3.08808808809,-0.00122
3.08308308308,-0.001223
3.07807807808,-0.001225
3.07307307307,-0.001227
3.06806806807,-0.001229
3.06306306306,-0.001232
3.05805805806,-0.001234
3.05305305305,-0.001236
3.04804804805,-0.001238
3.04304304304,-0.00124
3.03803803804,-0.001243
3.03303303303,-0.001245
3.02802802803,-0.001247
3.02302302302,-0.001249
3.01801801802,-0.001252
3.01301301301,-0.001254
3.00800800801,-0.001256
3.003003003,-0.001258
2.997997998,-0.00126
2.99299299299,-0.001263
2.98798798799,-0.001265
2.98298298298,-0.001267
2.97797797798,-0.001269
2.97297297297,-0.001271
2.96796796797,-0.001274
2.96296296296,-0.001276
2.95795795796,-0.001278
2.95295295295,-0.00128
2.94794794795,-0.001282
2.94294294294,-0.001284
2.93793793794,-0.001286
2.93293293293,-0.001288
2.92792792793,-0.001291
2.92292292292,-0.001292
2.91791791792,-0.001295
2.91291291291,-0.001296
2.90790790791,-0.001298
2.9029029029,-0.0013
2.8978978979,-0.001303
2.89289289289,-0.001304
2.88788788789,-0.001307
2.88288288288,-0.001309
2.87787787788,-0.001311
2.87287287287,-0.001312
2.86786786787,-0.001315
2.86286286286,-0.001317
2.85785785786,-0.001319
2.85285285285,-0.001321
2.84784784785,-0.001323
2.84284284284,-0.001325
2.83783783784,-0.001327
2.83283283283,-0.001329
2.82782782783,-0.00133
2.82282282282,-0.001332
2.81781781782,-0.001334
2.81281281281,-0.001336
