Vg, I
5.0,-7.81e-08
4.99497991968,-3.81e-08
4.98995983936,-2.99e-08
4.98493975904,-2.48e-08
4.97991967871,-2.07e-08
4.97489959839,-1.81e-08
4.96987951807,-1.58e-08
4.96485943775,-1.42e-08
4.95983935743,-1.25e-08
4.95481927711,-1.17e-08
4.94979919679,-1.08e-08
4.94477911647,-9.8e-09
4.93975903614,-9.2e-09
4.93473895582,-8.5e-09
4.9297188755,-8.1e-09
4.92469879518,-7.6e-09
4.91967871486,-7.2e-09
4.91465863454,-6.5e-09
4.90963855422,-6.2e-09
4.9046184739,-6.2e-09
4.89959839357,-5.8e-09
4.89457831325,-5.8e-09
4.88955823293,-5.3e-09
4.88453815261,-5e-09
4.87951807229,-5.4e-09
4.87449799197,-4.9e-09
4.86947791165,-4.5e-09
4.86445783133,-4.4e-09
4.859437751,-4.4e-09
4.85441767068,-4.3e-09
4.84939759036,-4.1e-09
4.84437751004,-4e-09
4.83935742972,-3.8e-09
4.8343373494,-3.7e-09
4.82931726908,-3.8e-09
4.82429718876,-3.3e-09
4.81927710843,-3.9e-09
4.81425702811,-3.3e-09
4.80923694779,-3.4e-09
4.80421686747,-3.3e-09
4.79919678715,-3.2e-09
4.79417670683,-3.4e-09
4.78915662651,-3.3e-09
4.78413654618,-3.2e-09
4.77911646586,-3e-09
4.77409638554,-3e-09
4.76907630522,-2.9e-09
4.7640562249,-2.9e-09
4.75903614458,-2.8e-09
4.75401606426,-2.7e-09
4.74899598394,-2.8e-09
4.74397590361,-2.7e-09
4.73895582329,-2.6e-09
4.73393574297,-2.6e-09
4.72891566265,-2.6e-09
4.72389558233,-2.4e-09
4.71887550201,-2.6e-09
4.71385542169,-2.7e-09
4.70883534137,-2.3e-09
4.70381526104,-2.6e-09
4.69879518072,-2.4e-09
4.6937751004,-2.4e-09
4.68875502008,-2.4e-09
4.68373493976,-2.5e-09
4.67871485944,-2.5e-09
4.67369477912,-2.6e-09
4.6686746988,-2.6e-09
4.66365461847,-2.4e-09
4.65863453815,-2.5e-09
4.65361445783,-2.4e-09
4.64859437751,-2.3e-09
4.64357429719,-2.7e-09
4.63855421687,-2.5e-09
4.63353413655,-2.7e-09
4.62851405622,-3e-09
4.6234939759,-3.1e-09
4.61847389558,-3.1e-09
4.61345381526,-3.1e-09
4.60843373494,-3.2e-09
4.60341365462,-3.7e-09
4.5983935743,-3.8e-09
4.59337349398,-4.1e-09
4.58835341365,-4.2e-09
4.58333333333,-4.6e-09
4.57831325301,-4.6e-09
4.57329317269,-5.1e-09
4.56827309237,-5.8e-09
4.56325301205,-6.3e-09
4.55823293173,-6.5e-09
4.55321285141,-7.5e-09
4.54819277108,-8.2e-09
4.54317269076,-9.2e-09
4.53815261044,-1.05e-08
4.53313253012,-1.17e-08
4.5281124498,-1.31e-08
4.52309236948,-1.44e-08
4.51807228916,-1.65e-08
4.51305220884,-1.82e-08
4.50803212851,-2.09e-08
4.50301204819,-2.36e-08
4.49799196787,-2.65e-08
4.49297188755,-2.99e-08
4.48795180723,-3.39e-08
4.48293172691,-3.88e-08
4.47791164659,-4.44e-08
4.47289156627,-5.02e-08
4.46787148594,-5.69e-08
4.46285140562,-6.48e-08
4.4578313253,-7.34e-08
4.45281124498,-8.37e-08
4.44779116466,-9.49e-08
4.44277108434,-1.077e-07
4.43775100402,-1.219e-07
4.43273092369,-1.383e-07
4.42771084337,-1.558e-07
4.42269076305,-1.764e-07
4.41767068273,-1.979e-07
4.41265060241,-2.27e-07
4.40763052209,-2.53e-07
4.40261044177,-2.83e-07
4.39759036145,-3.16e-07
4.39257028112,-3.52e-07
4.3875502008,-3.93e-07
4.38253012048,-4.35e-07
4.37751004016,-4.83e-07
4.37248995984,-5.32e-07
4.36746987952,-5.88e-07
4.3624497992,-6.47e-07
4.35742971888,-7.13e-07
4.35240963855,-7.82e-07
4.34738955823,-8.57e-07
4.34236947791,-9.37e-07
4.33734939759,-1.019e-06
4.33232931727,-1.109e-06
4.32730923695,-1.207e-06
4.32228915663,-1.31e-06
4.31726907631,-1.419e-06
4.31224899598,-1.531e-06
4.30722891566,-1.651e-06
