Vg, I
0.0,-7.5e-09
0.00502008032129,-6e-09
0.0100401606426,-4.7e-09
0.0150602409639,-4.4e-09
0.0200803212851,-3.5e-09
0.0251004016064,-3.2e-09
0.0301204819277,-2.8e-09
0.035140562249,-2.3e-09
0.0401606425703,-2.1e-09
0.0451807228916,-2e-09
0.0502008032129,-1.6e-09
0.0552208835341,-1.5e-09
0.0602409638554,-1.5e-09
0.0652610441767,-1.6e-09
0.070281124498,-1.3e-09
0.0753012048193,-1.4e-09
0.0803212851406,-8e-10
0.0853413654618,-1.2e-09
0.0903614457831,-8e-10
0.0953815261044,-1e-09
0.100401606426,-6e-10
0.105421686747,-8e-10
0.110441767068,-8e-10
0.11546184739,-7e-10
0.120481927711,-3e-10
0.125502008032,-5e-10
0.130522088353,-5e-10
0.135542168675,-6e-10
0.140562248996,-6e-10
0.145582329317,-0.0
0.150602409639,-3e-10
0.15562248996,-1e-10
0.160642570281,-5e-10
0.165662650602,-2e-10
0.170682730924,-4e-10
0.175702811245,-2e-10
0.180722891566,-3e-10
0.185742971888,-3e-10
0.190763052209,-3e-10
0.19578313253,-1e-10
0.200803212851,1e-10
0.205823293173,3e-10
0.210843373494,4e-10
0.215863453815,3e-10
0.220883534137,1e-10
0.225903614458,3e-10
0.230923694779,2e-10
0.2359437751,4e-10
0.240963855422,4e-10
0.245983935743,5e-10
0.251004016064,4e-10
0.256024096386,4e-10
0.261044176707,7e-10
0.266064257028,8e-10
0.271084337349,1.1e-09
0.276104417671,1.1e-09
0.281124497992,1.4e-09
0.286144578313,1.5e-09
0.291164658635,1.9e-09
0.296184738956,2.1e-09
0.301204819277,2.2e-09
0.306224899598,2.2e-09
0.31124497992,2.6e-09
0.316265060241,3.1e-09
0.321285140562,3.5e-09
0.326305220884,4.1e-09
0.331325301205,4.6e-09
0.336345381526,5.2e-09
0.341365461847,6e-09
0.346385542169,6.9e-09
0.35140562249,7.6e-09
0.356425702811,8.7e-09
0.361445783133,9.9e-09
0.366465863454,1.13e-08
0.371485943775,1.23e-08
0.376506024096,1.42e-08
0.381526104418,1.62e-08
0.386546184739,1.85e-08
0.39156626506,2.07e-08
0.396586345382,2.36e-08
0.401606425703,2.64e-08
0.406626506024,2.95e-08
0.411646586345,3.34e-08
0.416666666667,3.8e-08
0.421686746988,4.31e-08
0.426706827309,4.84e-08
0.431726907631,5.48e-08
0.436746987952,6.16e-08
0.441767068273,7.04e-08
0.446787148594,7.94e-08
0.451807228916,9.01e-08
0.456827309237,1.02e-07
0.461847389558,1.148e-07
0.46686746988,1.298e-07
0.471887550201,1.464e-07
0.476907630522,1.654e-07
0.481927710843,1.858e-07
0.486947791165,2.16e-07
0.491967871486,2.43e-07
0.496987951807,2.72e-07
0.502008032129,3.06e-07
0.50702811245,3.43e-07
0.512048192771,3.85e-07
0.517068273092,4.31e-07
0.522088353414,4.81e-07
0.527108433735,5.36e-07
0.532128514056,5.96e-07
0.537148594378,6.62e-07
0.542168674699,7.35e-07
0.54718875502,8.15e-07
0.552208835341,9.01e-07
0.557228915663,9.95e-07
0.562248995984,1.097e-06
0.567269076305,1.218e-06
0.572289156627,1.338e-06
0.577309236948,1.467e-06
0.582329317269,1.607e-06
0.58734939759,1.756e-06
0.592369477912,1.916e-06
0.597389558233,2.13e-06
0.602409638554,2.31e-06
0.607429718876,2.51e-06
0.612449799197,2.72e-06
0.617469879518,2.95e-06
0.622489959839,3.18e-06
0.627510040161,3.44e-06
0.632530120482,3.7e-06
0.637550200803,3.98e-06
0.642570281124,4.28e-06
0.647590361446,4.59e-06
0.652610441767,4.91e-06
0.657630522088,5.25e-06
0.66265060241,5.59e-06
0.667670682731,5.96e-06
0.672690763052,6.35e-06
0.677710843373,6.75e-06
0.682730923695,7.17e-06
0.687751004016,7.64e-06
0.692771084337,8.09e-06
0.697791164659,8.56e-06
0.70281124498,9.04e-06
0.707831325301,9.56e-06
0.712851405622,1.008e-05
0.717871485944,1.063e-05
0.722891566265,1.119e-05
0.727911646586,1.177e-05
0.732931726908,1.237e-05
0.737951807229,1.299e-05
0.74297188755,1.362e-05
0.747991967871,1.427e-05
0.753012048193,1.494e-05
0.758032128514,1.563e-05
0.763052208835,1.634e-05
0.768072289157,1.707e-05
0.773092369478,1.779e-05
0.778112449799,1.853e-05
0.78313253012,1.929e-05
0.788152610442,2.04e-05
0.793172690763,2.12e-05
0.798192771084,2.2e-05
0.803212851406,2.28e-05
0.808232931727,2.37e-05
0.813253012048,2.46e-05
0.818273092369,2.55e-05
0.823293172691,2.64e-05
0.828313253012,2.74e-05
0.833333333333,2.83e-05
0.838353413655,2.93e-05
0.843373493976,3.03e-05
0.848393574297,3.14e-05
0.853413654618,3.24e-05
0.85843373494,3.35e-05
0.863453815261,3.46e-05
0.868473895582,3.57e-05
0.873493975904,3.69e-05
0.878514056225,3.8e-05
0.883534136546,3.92e-05
0.888554216867,4.04e-05
0.893574297189,4.16e-05
0.89859437751,4.28e-05
0.903614457831,4.4e-05
0.908634538153,4.53e-05
0.913654618474,4.65e-05
0.918674698795,4.78e-05
0.923694779116,4.91e-05
0.928714859438,5.04e-05
0.933734939759,5.17e-05
0.93875502008,5.32e-05
0.943775100402,5.46e-05
0.948795180723,5.59e-05
0.953815261044,5.73e-05
0.958835341365,5.88e-05
0.963855421687,6.03e-05
0.968875502008,6.18e-05
0.973895582329,6.33e-05
0.978915662651,6.49e-05
0.983935742972,6.65e-05
0.988955823293,6.81e-05
0.993975903614,6.97e-05
0.998995983936,7.14e-05
1.00401606426,7.3e-05
1.00903614458,7.47e-05
1.0140562249,7.65e-05
1.01907630522,7.82e-05
1.02409638554,7.99e-05
1.02911646586,8.17e-05
1.03413654618,8.34e-05
1.03915662651,8.52e-05
1.04417670683,8.69e-05
1.04919678715,8.87e-05
1.05421686747,9.05e-05
1.05923694779,9.24e-05
1.06425702811,9.44e-05
1.06927710843,9.62e-05
1.07429718876,9.81e-05
1.07931726908,0.0001001
1.0843373494,0.000102
1.08935742972,0.0001039
1.09437751004,0.0001059
1.09939759036,0.0001079
1.10441767068,0.00011
1.109437751,0.000112
1.11445783133,0.0001141
1.11947791165,0.0001162
1.12449799197,0.0001183
1.12951807229,0.0001205
1.13453815261,0.0001226
1.13955823293,0.0001248
1.14457831325,0.0001269
1.14959839357,0.0001292
1.1546184739,0.0001314
1.15963855422,0.0001335
1.16465863454,0.0001357
1.16967871486,0.0001379
1.17469879518,0.0001401
1.1797188755,0.0001424
1.18473895582,0.0001446
1.18975903614,0.0001471
1.19477911647,0.0001494
