Vd, I
5.0,1.54e-07
4.99499499499,3.2e-08
4.98998998999,8e-09
4.98498498498,-1.5e-08
4.97997997998,-2.1e-08
4.97497497497,-3e-08
4.96996996997,-4.4e-08
4.96496496496,-5.2e-08
4.95995995996,-5.1e-08
4.95495495495,-6e-08
4.94994994995,-6.3e-08
4.94494494494,-6.4e-08
4.93993993994,-6.6e-08
4.93493493493,-6.8e-08
4.92992992993,-6.7e-08
4.92492492492,-7.1e-08
4.91991991992,-7.5e-08
4.91491491491,-6.8e-08
4.90990990991,-7.6e-08
4.9049049049,-7.7e-08
4.8998998999,-7.2e-08
4.89489489489,-8.1e-08
4.88988988989,-7.3e-08
4.88488488488,-7.9e-08
4.87987987988,-8.6e-08
4.87487487487,-8.7e-08
4.86986986987,-7.7e-08
4.86486486486,-7.5e-08
4.85985985986,-8.4e-08
4.85485485485,-8.6e-08
4.84984984985,-8.5e-08
4.84484484484,-7.9e-08
4.83983983984,-8.2e-08
4.83483483483,-8.7e-08
4.82982982983,-8.6e-08
4.82482482482,-7.8e-08
4.81981981982,-8.5e-08
4.81481481481,-8.5e-08
4.80980980981,-8.5e-08
4.8048048048,-8.6e-08
4.7997997998,-7.9e-08
4.79479479479,-8.5e-08
4.78978978979,-7.6e-08
4.78478478478,-8.3e-08
4.77977977978,-8.2e-08
4.77477477477,-7.9e-08
4.76976976977,-8.9e-08
4.76476476476,-8.6e-08
4.75975975976,-9e-08
4.75475475475,-9.2e-08
4.74974974975,-8.7e-08
4.74474474474,-9.3e-08
4.73973973974,-8.8e-08
4.73473473473,-9.4e-08
4.72972972973,-9.5e-08
4.72472472472,-8.8e-08
4.71971971972,-8.6e-08
4.71471471471,-8.5e-08
4.70970970971,-8.5e-08
4.7047047047,-8.7e-08
4.6996996997,-8.9e-08
4.69469469469,-8.5e-08
4.68968968969,-8.9e-08
4.68468468468,-8.5e-08
4.67967967968,-9.3e-08
4.67467467467,-9.4e-08
4.66966966967,-8.9e-08
4.66466466466,-8.2e-08
4.65965965966,-9.3e-08
4.65465465465,-8.8e-08
4.64964964965,-9.6e-08
4.64464464464,-8.7e-08
4.63963963964,-8.2e-08
4.63463463463,-8.9e-08
4.62962962963,-8.6e-08
4.62462462462,-9.4e-08
4.61961961962,-8.4e-08
4.61461461461,-9.2e-08
4.60960960961,-9.2e-08
4.6046046046,-9.3e-08
4.5995995996,-8.9e-08
4.59459459459,-9.2e-08
4.58958958959,-8.8e-08
4.58458458458,-9e-08
4.57957957958,-9.4e-08
4.57457457457,-9.7e-08
4.56956956957,-9e-08
4.56456456456,-9.3e-08
4.55955955956,-9.5e-08
4.55455455455,-1e-07
4.54954954955,-9.4e-08
4.54454454454,-9.8e-08
4.53953953954,-8.4e-08
4.53453453453,-9.1e-08
4.52952952953,-8.8e-08
4.52452452452,-9.4e-08
4.51951951952,-9e-08
4.51451451451,-9e-08
4.50950950951,-9.4e-08
4.5045045045,-9.8e-08
4.4994994995,-8.8e-08
4.49449449449,-9.2e-08
4.48948948949,-9.8e-08
4.48448448448,-8.9e-08
4.47947947948,-9.2e-08
4.47447447447,-9.8e-08
4.46946946947,-9e-08
4.46446446446,-9.8e-08
4.45945945946,-9.4e-08
4.45445445445,-8.8e-08
4.44944944945,-9.6e-08
4.44444444444,-9e-08
4.43943943944,-9.4e-08
4.43443443443,-8.6e-08
4.42942942943,-9.7e-08
4.42442442442,-9.4e-08
4.41941941942,-9.7e-08
4.41441441441,-9.9e-08
4.40940940941,-9e-08
4.4044044044,-9.7e-08
4.3993993994,-9.9e-08
4.39439439439,-9.2e-08
4.38938938939,-8.5e-08
4.38438438438,-9.1e-08
4.37937937938,-1.03e-07
4.37437437437,-9.3e-08
4.36936936937,-9.8e-08
4.36436436436,-1.02e-07
4.35935935936,-9.9e-08
4.35435435435,-9.9e-08
4.34934934935,-1.04e-07
4.34434434434,-9.4e-08
4.33933933934,-9.9e-08
4.33433433433,-9.1e-08
4.32932932933,-9.6e-08
4.32432432432,-9.6e-08
4.31931931932,-9.9e-08
4.31431431431,-9.1e-08
4.30930930931,-9.4e-08
4.3043043043,-9.2e-08
4.2992992993,-1.02e-07
4.29429429429,-1.01e-07
4.28928928929,-9.5e-08
4.28428428428,-9.8e-08
4.27927927928,-9.5e-08
4.27427427427,-9.9e-08
4.26926926927,-1e-07
4.26426426426,-1e-07
4.25925925926,-9.8e-08
4.25425425425,-9.3e-08
4.24924924925,-9.9e-08
4.24424424424,-1.02e-07
4.23923923924,-1.03e-07
4.23423423423,-9e-08
4.22922922923,-9.6e-08
4.22422422422,-9.2e-08
4.21921921922,-9.3e-08
4.21421421421,-9.3e-08
4.20920920921,-1.02e-07
4.2042042042,-9.5e-08
4.1991991992,-1.02e-07
4.19419419419,-1e-07
4.18918918919,-9.8e-08
4.18418418418,-1e-07
4.17917917918,-9.5e-08
4.17417417417,-1.01e-07
4.16916916917,-9.7e-08
4.16416416416,-9.1e-08
4.15915915916,-9.7e-08
4.15415415415,-9.9e-08
4.14914914915,-9.5e-08
4.14414414414,-9.6e-08
4.13913913914,-9.9e-08
4.13413413413,-9.9e-08
4.12912912913,-9.4e-08
4.12412412412,-9.4e-08
