Vs, I
5.0,2.054e-07
4.99499499499,0.00176
4.98998998999,0.001755
4.98498498498,0.00175
4.97997997998,0.001746
4.97497497497,0.001742
4.96996996997,0.001738
4.96496496496,0.001734
4.95995995996,0.001729
4.95495495495,0.001725
4.94994994995,0.001721
4.94494494494,0.001717
4.93993993994,0.001713
4.93493493493,0.001709
4.92992992993,0.001705
4.92492492492,0.001701
4.91991991992,0.001696
4.91491491491,0.001692
4.90990990991,0.001688
4.9049049049,0.001684
4.8998998999,0.00168
4.89489489489,0.001676
4.88988988989,0.001672
4.88488488488,0.001668
4.87987987988,0.001664
4.87487487487,0.00166
4.86986986987,0.001656
4.86486486486,0.001652
4.85985985986,0.001648
4.85485485485,0.001644
4.84984984985,0.00164
4.84484484484,0.001636
4.83983983984,0.001632
4.83483483483,0.001628
4.82982982983,0.001624
4.82482482482,0.00162
4.81981981982,0.001616
4.81481481481,0.001612
4.80980980981,0.001608
4.8048048048,0.001604
4.7997997998,0.0016
4.79479479479,0.001596
4.78978978979,0.001592
4.78478478478,0.001588
4.77977977978,0.001584
4.77477477477,0.001581
4.76976976977,0.001577
4.76476476476,0.001573
4.75975975976,0.001569
4.75475475475,0.001565
4.74974974975,0.001561
4.74474474474,0.001558
4.73973973974,0.001554
4.73473473473,0.00155
4.72972972973,0.001547
4.72472472472,0.001543
4.71971971972,0.001539
4.71471471471,0.001535
4.70970970971,0.001532
4.7047047047,0.001528
4.6996996997,0.001524
4.69469469469,0.00152
4.68968968969,0.001517
4.68468468468,0.001513
4.67967967968,0.001509
4.67467467467,0.001505
4.66966966967,0.001501
4.66466466466,0.001498
4.65965965966,0.001494
4.65465465465,0.001491
4.64964964965,0.001487
4.64464464464,0.001483
4.63963963964,0.001479
4.63463463463,0.001475
4.62962962963,0.001472
4.62462462462,0.001468
4.61961961962,0.001464
4.61461461461,0.001461
4.60960960961,0.001457
4.6046046046,0.001453
4.5995995996,0.00145
4.59459459459,0.001446
4.58958958959,0.001442
4.58458458458,0.001438
4.57957957958,0.001435
4.57457457457,0.001431
4.56956956957,0.001428
4.56456456456,0.001424
4.55955955956,0.00142
4.55455455455,0.001416
4.54954954955,0.001413
4.54454454454,0.001409
4.53953953954,0.001405
4.53453453453,0.001402
4.52952952953,0.001398
4.52452452452,0.001395
4.51951951952,0.001391
4.51451451451,0.001387
4.50950950951,0.001384
4.5045045045,0.00138
4.4994994995,0.001376
4.49449449449,0.001373
4.48948948949,0.001369
4.48448448448,0.001365
4.47947947948,0.001362
4.47447447447,0.001358
4.46946946947,0.001354
4.46446446446,0.001351
4.45945945946,0.001347
4.45445445445,0.001344
4.44944944945,0.00134
4.44444444444,0.001336
4.43943943944,0.001333
4.43443443443,0.001329
4.42942942943,0.001325
4.42442442442,0.001322
4.41941941942,0.001318
4.41441441441,0.001315
4.40940940941,0.001311
4.4044044044,0.001308
4.3993993994,0.001304
4.39439439439,0.0013
4.38938938939,0.001297
4.38438438438,0.001293
4.37937937938,0.00129
4.37437437437,0.001286
4.36936936937,0.001283
4.36436436436,0.001279
4.35935935936,0.001276
4.35435435435,0.001272
4.34934934935,0.001268
4.34434434434,0.001265
4.33933933934,0.001262
4.33433433433,0.001258
4.32932932933,0.001255
4.32432432432,0.001251
4.31931931932,0.001247
4.31431431431,0.001244
4.30930930931,0.001241
4.3043043043,0.001237
4.2992992993,0.001233
4.29429429429,0.00123
4.28928928929,0.001227
4.28428428428,0.001223
4.27927927928,0.00122
4.27427427427,0.001216
4.26926926927,0.001213
4.26426426426,0.001209
4.25925925926,0.001206
4.25425425425,0.001202
4.24924924925,0.001199
4.24424424424,0.001195
4.23923923924,0.001192
4.23423423423,0.001189
4.22922922923,0.001185
4.22422422422,0.001182
4.21921921922,0.001178
4.21421421421,0.001175
4.20920920921,0.001171
4.2042042042,0.001168
4.1991991992,0.001165
4.19419419419,0.001161
4.18918918919,0.001158
4.18418418418,0.001154
4.17917917918,0.001151
4.17417417417,0.001148
4.16916916917,0.001144
4.16416416416,0.001141
4.15915915916,0.001137
4.15415415415,0.001134
4.14914914915,0.001131
4.14414414414,0.001127
4.13913913914,0.001124
4.13413413413,0.00112
4.12912912913,0.001117
4.12412412412,0.001114
4.11911911912,0.001111
4.11411411411,0.001107
4.10910910911,0.001104
4.1041041041,0.001101
4.0990990991,0.001097
4.09409409409,0.001094
4.08908908909,0.001091
4.08408408408,0.001087
4.07907907908,0.001084
4.07407407407,0.001081
4.06906906907,0.001077
4.06406406406,0.001074
4.05905905906,0.001071
4.05405405405,0.001068
4.04904904905,0.001064
4.04404404404,0.001061
4.03903903904,0.001058
4.03403403403,0.001055
4.02902902903,0.001051
4.02402402402,0.001048
4.01901901902,0.001045
4.01401401401,0.001042
4.00900900901,0.001038
4.004004004,0.001035
3.998998999,0.001024
3.99399399399,0.001021
3.98898898899,0.001017
3.98398398398,0.001014
3.97897897898,0.001011
3.97397397397,0.001008
3.96896896897,0.001005
3.96396396396,0.001001
3.95895895896,0.000998
3.95395395395,0.000995
3.94894894895,0.000992
3.94394394394,0.000989
3.93893893894,0.000986
3.93393393393,0.000983
3.92892892893,0.000979
3.92392392392,0.000976
3.91891891892,0.000973
3.91391391391,0.00097
3.90890890891,0.000967
3.9039039039,0.000964
3.8988988989,0.000961
3.89389389389,0.000958
3.88888888889,0.000955
3.88388388388,0.000952
3.87887887888,0.000949
3.87387387387,0.000945
3.86886886887,0.000942
3.86386386386,0.000939
3.85885885886,0.000936
3.85385385385,0.000933
3.84884884885,0.00093
3.84384384384,0.000927
3.83883883884,0.000924
3.83383383383,0.000921
3.82882882883,0.000918
3.82382382382,0.000915
3.81881881882,0.000912
3.81381381381,0.000909
3.80880880881,0.000906
3.8038038038,0.000903
3.7987987988,0.0009
3.79379379379,0.000897
3.78878878879,0.000893
3.78378378378,0.000891
3.77877877878,0.000888
3.77377377377,0.000885
3.76876876877,0.000882
3.76376376376,0.000879
3.75875875876,0.000876
3.75375375375,0.000873
3.74874874875,0.00087
3.74374374374,0.000867
3.73873873874,0.000864
3.73373373373,0.000861
3.72872872873,0.000858
3.72372372372,0.000855
3.71871871872,0.000852
3.71371371371,0.000849
3.70870870871,0.000846
3.7037037037,0.000843
3.6986986987,0.00084
3.69369369369,0.000837
3.68868868869,0.000834
3.68368368368,0.000831
3.67867867868,0.000829
3.67367367367,0.000825
3.66866866867,0.000823
3.66366366366,0.00082
3.65865865866,0.000817
3.65365365365,0.000814
3.64864864865,0.000811
3.64364364364,0.000808
3.63863863864,0.000805
3.63363363363,0.000803
3.62862862863,0.000799
3.62362362362,0.000797
3.61861861862,0.000794
3.61361361361,0.000791
3.60860860861,0.000788
3.6036036036,0.000785
3.5985985986,0.000782
3.59359359359,0.00078
3.58858858859,0.000777
3.58358358358,0.000774
3.57857857858,0.000771
3.57357357357,0.000768
3.56856856857,0.000765
3.56356356356,0.000762
3.55855855856,0.000759
3.55355355355,0.000757
3.54854854855,0.000754
3.54354354354,0.000751
3.53853853854,0.000748
3.53353353353,0.000745
3.52852852853,0.000743
3.52352352352,0.00074
3.51851851852,0.000737
3.51351351351,0.000734
3.50850850851,0.000731
3.5035035035,0.000729
3.4984984985,0.000725
3.49349349349,0.000722
3.48848848849,0.00072
3.48348348348,0.000717
3.47847847848,0.000714
3.47347347347,0.000711
3.46846846847,0.000709
3.46346346346,0.000706
3.45845845846,0.000703
3.45345345345,0.0007
3.44844844845,0.000697
3.44344344344,0.000695
3.43843843844,0.000692
3.43343343343,0.000689
3.42842842843,0.000687
3.42342342342,0.000684
3.41841841842,0.000681
3.41341341341,0.000679
3.40840840841,0.000676
3.4034034034,0.000673
3.3983983984,0.00067
3.39339339339,0.000668
3.38838838839,0.000665
3.38338338338,0.000662
3.37837837838,0.00066
3.37337337337,0.000657
3.36836836837,0.000654
3.36336336336,0.000652
3.35835835836,0.000649
3.35335335335,0.000646
3.34834834835,0.000644
3.34334334334,0.000641
3.33833833834,0.000638
3.33333333333,0.000636
3.32832832833,0.000633
3.32332332332,0.00063
3.31831831832,0.000628
3.31331331331,0.000625
3.30830830831,0.000622
3.3033033033,0.00062
3.2982982983,0.000617
3.29329329329,0.000614
3.28828828829,0.000612
3.28328328328,0.000609
3.27827827828,0.000607
3.27327327327,0.000604
3.26826826827,0.000601
3.26326326326,0.000599
3.25825825826,0.000596
3.25325325325,0.000594
3.24824824825,0.000591
3.24324324324,0.000588
3.23823823824,0.000586
3.23323323323,0.000583
3.22822822823,0.000581
3.22322322322,0.000578
3.21821821822,0.000576
3.21321321321,0.000573
3.20820820821,0.000571
3.2032032032,0.000568
3.1981981982,0.000565
3.19319319319,0.000563
3.18818818819,0.00056
3.18318318318,0.000558
3.17817817818,0.000556
3.17317317317,0.000553
3.16816816817,0.000551
3.16316316316,0.000548
3.15815815816,0.000546
3.15315315315,0.000543
3.14814814815,0.000541
3.14314314314,0.000538
3.13813813814,0.000536
3.13313313313,0.000533
3.12812812813,0.000531
3.12312312312,0.000529
3.11811811812,0.000526
3.11311311311,0.000524
3.10810810811,0.000521
3.1031031031,0.000519
3.0980980981,0.000517
